"Latest: Wavelength (nm)","Latest: Absorbance","Run 1: Wavelength (nm)","Run 1: Absorbance","Run 2: Wavelength (nm)","Run 2: Absorbance","Run 3: Wavelength (nm)","Run 3: Absorbance","Run 4: Wavelength (nm)","Run 4: Absorbance","Run 5: Wavelength (nm)","Run 5: Absorbance","Run 6: Wavelength (nm)","Run 6: Absorbance","Run 7: Wavelength (nm)","Run 7: Absorbance","Run 8: Wavelength (nm)","Run 8: Absorbance","Run 9: Wavelength (nm)","Run 9: Absorbance","Run 10: Wavelength (nm)","Run 10: Absorbance"
417.8,1.49812717612,417.8,0.215841989544,417.8,0.18183993232,417.8,0.139876043115,417.8,0.123191795312,417.8,0.0831684782542,417.8,1.16696800059,417.8,2.05236149713,417.8,2.03704169139,417.8,0.428490112864,417.8,1.15811604287
418.6,1.48517038374,418.6,0.218066970488,418.6,0.18319528432,418.6,0.141600466847,418.6,0.124687759024,418.6,0.0834097134908,418.6,1.17927398263,418.6,2.0492350778,418.6,2.06881442478,418.6,0.433835080991,418.6,1.17059108337
419.5,1.4716293753,419.5,0.219382422918,419.5,0.185674235871,419.5,0.143496507187,419.5,0.125974776146,419.5,0.0840215258423,419.5,1.19009030451,419.5,2.05563243747,419.5,2.06417811181,419.5,0.438304574532,419.5,1.18256775929
420.3,1.4580111894,420.3,0.221105336567,420.3,0.187950008198,420.3,0.14430075577,420.3,0.126528273973,420.3,0.0846880508542,420.3,1.20311874553,420.3,2.04644415384,420.3,2.06968835028,420.3,0.443137956376,420.3,1.19353529048
421.2,1.44156604387,421.2,0.221898002095,421.2,0.189759802356,421.2,0.14529980803,421.2,0.126896389867,421.2,0.0856140128423,421.2,1.21579165753,421.2,2.05151682836,421.2,2.06571546408,421.2,0.447414638034,421.2,1.20375832144
422,1.42615276004,422,0.223104469861,422,0.190649116212,422,0.146393429162,422,0.127522088534,422,0.0855287128331,422,1.22730642894,422,2.06049355144,422,2.081542179,422,0.453024811879,422,1.21532905633
422.9,1.4181568179,422.9,0.224457820738,422.9,0.192479683271,422.9,0.148195287468,422.9,0.127837770284,422.9,0.085752111859,422.9,1.24068077234,422.9,2.07816630348,422.9,2.09084278911,422.9,0.458642104776,422.9,1.22843506535
423.7,1.40611275604,423.7,0.225401197536,423.7,0.194331871607,423.7,0.148850111392,423.7,0.127532617569,423.7,0.0861836153133,423.7,1.25223862795,423.7,2.08169853791,423.7,2.08808711637,423.7,0.463221017379,423.7,1.24004955562
424.6,1.39455020442,424.6,0.22716805164,424.6,0.196460790244,424.6,0.150438068104,424.6,0.127586243945,424.6,0.0875586166357,424.6,1.26609275793,424.6,2.06764763312,424.6,2.08517641185,424.6,0.467625071347,424.6,1.24907777004
425.4,1.37493683497,425.4,0.228040391534,425.4,0.197704565204,425.4,0.150782987476,425.4,0.128419781802,425.4,0.0880972562671,425.4,1.27897262644,425.4,2.0587245966,425.4,2.06791025896,425.4,0.471141024291,425.4,1.25802177303
426.3,1.36268646027,426.3,0.229512498508,426.3,0.198997375792,426.3,0.15205066331,426.3,0.128835147887,426.3,0.0884658187088,426.3,1.29298477349,426.3,2.06791443751,426.3,2.09175742961,426.3,0.475507075232,426.3,1.26653488673
427.1,1.34925034652,427.1,0.23066462029,427.1,0.200182047288,427.1,0.152289809276,427.1,0.129664510862,427.1,0.0884944441292,427.1,1.30308332108,427.1,2.08153477201,427.1,2.09538839042,427.1,0.479423097801,427.1,1.27687156622
428,1.34023126079,428,0.232588689895,428,0.202212283837,428,0.15302286089,428,0.129447420482,428,0.088899885719,428,1.31529001662,428,2.08465395733,428,2.10235370235,428,0.483965482567,428,1.2862837307
428.8,1.32394838966,428.8,0.234123636506,428.8,0.20377319624,428.8,0.153942360113,428.8,0.129395867083,428.8,0.0890659418591,428.8,1.32334342221,428.8,2.06783628403,428.8,2.07208770715,428.8,0.488006237998,428.8,1.29617760716
429.7,1.31531932605,429.7,0.23538850023,429.7,0.205234265332,429.7,0.154748016901,429.7,0.129041308733,429.7,0.0891495964698,429.7,1.33405000008,429.7,2.05858495384,429.7,2.05575601506,429.7,0.492807465658,429.7,1.30661228313
430.5,1.30346752137,430.5,0.235804571495,430.5,0.205789660381,430.5,0.155913207462,430.5,0.129073055874,430.5,0.0891151864653,430.5,1.3402893793,430.5,2.04200856879,430.5,2.05399234798,430.5,0.497015960961,430.5,1.31673488564
431.4,1.29571587112,431.4,0.236546543603,431.4,0.206920397545,431.4,0.156459714485,431.4,0.129333585823,431.4,0.0894618617686,431.4,1.35540789652,431.4,2.05367688816,431.4,2.05447478774,431.4,0.501679935308,431.4,1.33084471584
432.2,1.2840407239,432.2,0.237048282697,432.2,0.208414969029,432.2,0.156997424982,432.2,0.128686509768,432.2,0.0897438841239,432.2,1.36934420976,432.2,2.05618958613,432.2,2.06486451414,432.2,0.504438065698,432.2,1.34380382236
433.1,1.27036739646,433.1,0.23732489104,433.1,0.211002300815,433.1,0.15783356734,433.1,0.12873771602,433.1,0.0902808914631,433.1,1.38081703063,433.1,2.06070258081,433.1,2.05249110583,433.1,0.508911708613,433.1,1.35036932117
433.9,1.26057384675,433.9,0.237750341778,433.9,0.212319367281,433.9,0.158295543288,433.9,0.128122252898,433.9,0.0895444746591,433.9,1.38550347061,433.9,2.04563766712,433.9,2.07063909469,433.9,0.511877629554,433.9,1.3562844806
434.8,1.25136513198,434.8,0.238195645261,434.8,0.213638800351,434.8,0.159029807676,434.8,0.128116810451,434.8,0.0893527129282,434.8,1.39404336724,434.8,2.03962779455,434.8,2.0661592363,434.8,0.516512900404,434.8,1.36144821858
435.6,1.24768237371,435.6,0.239755965552,435.6,0.213788167226,435.6,0.159339137558,435.6,0.127755295436,435.6,0.089072502649,435.6,1.40787381244,435.6,2.04136582904,435.6,2.08627977254,435.6,0.520322898604,435.6,1.37183667978
436.5,1.23952574651,436.5,0.240731486378,436.5,0.21535802285,436.5,0.160045852113,436.5,0.127360391553,436.5,0.0894615470577,436.5,1.41995002216,436.5,2.03539606263,436.5,2.0674280588,436.5,0.524421964985,436.5,1.38035112206
