time,temp
65.0,45.2356690358
65.5,45.1932594419
66.0,45.1644366053
66.5,45.1102162007
67.0,45.061117586
67.5,45.0052912532
68.0,44.9579604724
68.5,44.8971563479
69.0,44.8414681937
69.5,44.77908541
70.0,44.750442634
70.5,44.7049764266
71.0,44.667952747
71.5,44.6259052256
72.0,44.5906056739
72.5,44.5704428307
73.0,44.550286034
73.5,44.5435684438
74.0,44.5435684438
74.5,44.5435684438
75.0,44.5452477785
75.5,44.5452477785
76.0,44.5435684438
76.5,44.5385306913
77.0,44.5234196952
77.5,44.5183834499
78.0,44.5049553026
78.5,44.4948859474
79.0,44.4948859474
79.5,44.4898518336
80.0,44.4831402663
80.5,44.4730741668
81.0,44.4697191339
81.5,44.4797847329
82.0,44.4831402663
82.5,44.4881738792
83.0,44.4915298298
83.5,44.4982422321
84.0,44.5032769723
84.5,44.5083120886
85.0,44.4915298298
85.5,44.4747517458
86.0,44.4563006691
86.5,44.4361779681
87.0,44.3557469497
87.5,44.3138935478
88.0,44.293813068
88.5,44.2603587645
89.0,44.2469816425
89.5,44.2352788137
90.0,44.2235779924
90.5,44.2202352691
91.0,44.1934993726
91.5,44.1667739323
92.0,44.1517454595
92.5,44.1433977333
93.0,44.1433977333
93.5,44.1433977333
94.0,44.1433977333
94.5,44.1517454595
95.0,44.1534151268
95.5,44.1567545838
96.0,44.1584243733
96.5,44.1617640747
97.0,44.1617640747
97.5,44.1617640747
98.0,44.1584243733
98.5,44.1417283102
99.0,44.1400589277
99.5,44.1216984049
100.0,44.1133543383
100.5,44.098337576
101.0,44.0883282265
101.5,44.0799882166
102.0,44.0566415737
102.5,44.0399702532
103.0,44.033302856
103.5,44.014970843
104.0,44.0066397225
104.5,43.9966437074
105.0,43.9866491414
105.5,43.955009231
106.0,43.9400269636
106.5,43.9267121187
107.0,43.9084083912
107.5,43.9000901153
108.0,43.8967630847
108.5,43.8734783437
109.0,43.8651642603
109.5,43.8535262176
110.0,43.8369038275
110.5,43.8202854155
111.0,43.8219470778
111.5,43.8202854155
112.0,43.8186237929
112.5,43.8136391635
113.0,43.805332242
113.5,43.8003485653
114.0,43.7937042186
114.5,43.7937042186
115.0,43.7937042186
115.5,43.7870605062
116.0,43.7853996773
116.5,43.7687935662
117.0,43.7638125049
117.5,43.7555115274
118.0,43.7455516591
118.5,43.7422320191
119.0,43.7422320191
119.5,43.7405722584
120.0,43.7405722584
120.5,43.7355932132
121.0,43.7272955942
121.5,43.7223174962
122.0,43.7173397533
122.5,43.7173397533
123.0,43.7140214552
123.5,43.7140214552
124.0,43.7107033147
124.5,43.7123623652
125.0,43.6974323289
125.5,43.6941149762
126.0,43.6891392424
126.5,43.6891392424
127.0,43.6874807431
127.5,43.6874807431
128.0,43.6874807431
128.5,43.6858222832
129.0,43.6825054814
129.5,43.6758723497
130.0,43.6708979137
130.5,43.6659238312
131.0,43.6609501023
131.5,43.6609501023
132.0,43.6609501023
132.5,43.6642658823
133.0,43.6609501023
133.5,43.6609501023
134.0,43.6609501023
134.5,43.6592922712
135.0,43.6592922712
135.5,43.6543190134
136.0,43.6526613393
136.5,43.6576344794
137.0,43.6443735572
137.5,43.6427161185
138.0,43.6476885524
138.5,43.6526613393
139.0,43.6394013586
139.5,43.6443735572
140.0,43.641058719
140.5,43.6460310352
141.0,43.6377440375
141.5,43.6394013586
142.0,43.6311151449
142.5,43.6311151449
143.0,43.6294580197
143.5,43.6327723092
144.0,43.6327723092
144.5,43.6311151449
145.0,43.6311151449
145.5,43.6360867556
146.0,43.6294580197
146.5,43.6278009336
147.0,43.624486879
147.5,43.6327723092
148.0,43.6228299105
148.5,43.6228299105
149.0,43.6211729811
149.5,43.6294580197
150.0,43.6095755711
150.5,43.6128889212
151.0,43.6178592397
151.5,43.6178592397
152.0,43.6195160908
152.5,43.624486879
153.0,43.6145456549
153.5,43.6211729811
154.0,43.6211729811
154.5,43.6178592397
155.0,43.6112322266
155.5,43.6178592397
156.0,43.6112322266
156.5,43.6112322266
157.0,43.6162024277
157.5,43.6112322266
158.0,43.6145456549
158.5,43.6211729811
159.0,43.6095755711
159.5,43.6112322266
160.0,43.6178592397
160.5,43.6112322266
161.0,43.6162024277
161.5,43.6128889212
162.0,43.6095755711
162.5,43.6095755711
163.0,43.6079189547
163.5,43.6062623775
164.0,43.6012928803
164.5,43.5996364594
165.0,43.6079189547
165.5,43.6062623775
166.0,43.6062623775
166.5,43.6079189547
167.0,43.6046058393
167.5,43.6079189547
168.0,43.6079189547
168.5,43.6079189547
169.0,43.6079189547
169.5,43.6079189547
170.0,43.6145456549
170.5,43.6112322266
171.0,43.6195160908
171.5,43.6112322266
172.0,43.6112322266
172.5,43.6112322266
173.0,43.6294580197
173.5,43.6112322266
174.0,43.6145456549
174.5,43.6211729811
175.0,43.6178592397
175.5,43.6145456549
176.0,43.6162024277
176.5,43.6162024277
177.0,43.6128889212
177.5,43.6145456549
178.0,43.6261438867
178.5,43.6112322266
179.0,43.6128889212
179.5,43.6095755711
180.0,43.6095755711
180.5,43.6079189547
181.0,43.6112322266
181.5,43.6095755711
182.0,43.6079189547
182.5,43.6095755711
183.0,43.6079189547
183.5,43.6079189547
184.0,43.6062623775
184.5,43.6079189547
185.0,43.6079189547
185.5,43.6029493402
186.0,43.5946674312
186.5,43.586386499
187.0,43.5830743994
187.5,43.5814184082
188.0,43.5814184082
188.5,43.5814184082
189.0,43.5814184082
189.5,43.5814184082
190.0,43.5830743994
190.5,43.5830743994
191.0,43.5946674312
191.5,43.5979800776
192.0,43.5930111667
192.5,43.5963237349
193.0,43.6029493402
193.5,43.586386499
194.0,43.586386499
194.5,43.5814184082
195.0,43.5830743994
195.5,43.5830743994
196.0,43.5830743994
196.5,43.5814184082
197.0,43.5830743994
197.5,43.5880426073
198.0,43.5847304297
198.5,43.5847304297
199.0,43.5946674312
199.5,43.5913549412
200.0,43.5880426073
200.5,43.5979800776
201.0,43.5963237349
201.5,43.5946674312
202.0,43.6029493402
202.5,43.6062623775
203.0,43.6029493402
203.5,43.6062623775
204.0,43.6062623775
204.5,43.6029493402
205.0,43.6046058393
205.5,43.6079189547
206.0,43.6029493402
206.5,43.6046058393
207.0,43.5979800776
207.5,43.5880426073
208.0,43.5896987547
208.5,43.5847304297
209.0,43.5814184082
209.5,43.5814184082
210.0,43.5814184082
210.5,43.5814184082
211.0,43.5830743994
211.5,43.5814184082
212.0,43.5814184082
