time,temp
102.5,38.0066504039
103.0,38.074706784
103.5,38.1242324143
104.0,38.1737835081
104.5,38.2419580557
105.0,38.2900193309
105.5,38.3505179984
106.0,38.3986342245
106.5,38.4560953646
107.0,38.5182550089
107.5,38.5540154721
108.0,38.6100158632
108.5,38.6629360626
109.0,38.7236758468
109.5,38.7673085277
110.0,38.8249977292
110.5,38.8717993942
111.0,38.927993031
111.5,38.973285339
112.0,39.0326680964
112.5,39.0780127451
113.0,39.1358993857
113.5,39.176598797
114.0,39.2345490889
114.5,39.275293423
115.0,39.3254659101
115.5,39.3756667779
116.0,39.4258961515
116.5,39.4714412483
117.0,39.5264409165
117.5,39.5673201705
118.0,39.6145123213
118.5,39.6759003734
119.0,39.7389076236
119.5,39.7940766635
120.0,39.8555923937
120.5,39.9313646707
121.0,40.0040429022
121.5,40.0799473544
122.0,40.1432530965
122.5,40.2066064108
123.0,40.2652508017
123.5,40.3398043518
124.0,40.406483156
124.5,40.4795738554
125.0,40.5384111405
125.5,40.5941067501
126.0,40.6641777678
126.5,40.716770465
127.0,40.77896927
127.5,40.8364258658
128.0,40.8971187819
128.5,40.9530605832
129.0,41.0442492563
129.5,41.100293828
130.0,41.1595838155
130.5,41.2044813283
131.0,41.2510091478
131.5,41.2863243837
132.0,41.3216554311
132.5,41.3827191597
133.0,41.4116606626
133.5,41.4534839377
134.0,41.4872806115
134.5,41.5484737415
135.0,41.6064906152
135.5,41.6371281318
136.0,41.6742318828
136.5,41.6952114501
137.0,41.7210402881
137.5,41.7355728134
138.0,41.7775710829
138.5,41.8001950439
139.0,41.8357604655
139.5,41.8648717322
140.0,41.9020855956
140.5,41.9344602286
141.0,41.9798078385
141.5,42.0073535142
142.0,42.0332879891
142.5,42.0803168574
143.0,42.1322447451
143.5,42.1728382923
144.0,42.2085787311
144.5,42.239459161
145.0,42.2654735968
145.5,42.3175295983
146.0,42.3533391447
146.5,42.3891658941
147.0,42.4233802469
147.5,42.4885940767
148.0,42.5375421471
148.5,42.5636610447
149.0,42.6289987914
149.5,42.6796754881
150.0,42.7369332211
150.5,42.7762215754
151.0,42.8220847268
151.5,42.8548618032
152.0,42.8925737119
152.5,42.9335871488
153.0,42.968056384
153.5,42.9894027146
154.0,43.0255416494
154.5,43.051835886
155.0,43.0781397233
155.5,43.1044531803
156.0,43.1340673419
156.5,43.1587551487
157.0,43.1850981859
157.5,43.2163931403
158.0,43.2427574171
158.5,43.2674827726
159.0,43.2889183513
159.5,43.3153094611
160.0,43.3466616263
160.5,43.3681210822
161.0,43.3945416324
161.5,43.4127114748
162.0,43.4474123102
162.5,43.4672490068
163.0,43.4854375404
163.5,43.5036307629
164.0,43.5267925646
164.5,43.5466516009
165.0,43.5781065428
165.5,43.586386499
166.0,43.6079189547
166.5,43.6228299105
167.0,43.6592922712
167.5,43.6708979137
168.0,43.6874807431
168.5,43.6990910642
169.0,43.7206582092
169.5,43.7405722584
170.0,43.7555115274
170.5,43.7588317997
171.0,43.7239768228
171.5,43.6990910642
172.0,43.6891392424
172.5,43.6957736328
173.0,43.6990910642
173.5,43.7040675067
174.0,43.7156805845
174.5,43.7306145234
175.0,43.7405722584
175.5,43.7555115274
176.0,43.7754355354
176.5,43.8202854155
177.0,43.890109503
177.5,43.936698012
178.0,44.008305866
178.5,44.0866601435
179.0,44.1367202849
179.5,44.1684439664
180.0,44.2168927095
180.5,44.2219066103
181.0,44.2235779924
181.5,44.2519977556
182.0,44.3088728719
182.5,44.4328247669
183.0,44.4663642677
183.5,44.5099905443
184.0,44.5301352748
184.5,44.5822037539
185.0,44.678048082
185.5,44.7622352278
186.0,44.8161708248
186.5,44.8313480908
187.0,44.8229158487
187.5,44.8144846757
188.0,44.8111125057
188.5,44.7976255347
189.0,44.8667751983
189.5,44.9005328906
190.0,44.9545809994
190.5,45.0002184751
191.0,45.0036002838
191.5,44.9883835087
192.0,44.9630300059
192.5,44.9765506632
193.0,44.9765506632
193.5,45.0560405097
194.0,45.1119099106
194.5,45.1407096652
195.0,45.149182587
195.5,45.1525720622
196.0,45.1915636298
196.5,45.2543379763
197.0,45.3494627776
197.5,45.4481317678
198.0,45.6015371659
198.5,45.7382049676
199.0,45.8511758342
199.5,45.9214555953
200.0,45.9660635265
200.5,46.0364705959
201.0,46.1276008728
201.5,46.1826867253
202.0,46.2464399201
202.5,46.3188869736
203.0,46.429444044
203.5,46.5072970117
204.0,46.599115777
204.5,46.6667675454
205.0,46.7066994867
205.5,46.7014895072
206.0,46.7119099062
206.5,46.7153837638
207.0,46.6216581474
207.5,46.6424737802
208.0,46.6823900117
208.5,46.717120766
209.0,46.790119118
209.5,46.9555551844
210.0,47.1074535599
210.5,47.2352019886
211.0,47.3351385826
211.5,47.5460752465
212.0,47.7418558639
212.5,47.9879363006
213.0,48.2439572844
213.5,48.5243764516
214.0,48.7629964964
214.5,48.9520835305
215.0,49.0821061332
215.5,49.1943089374
216.0,49.3430487208
216.5,49.4976458176
217.0,49.6271073054
217.5,49.7733399698
218.0,49.9456564373
218.5,50.1111449218
219.0,50.314087114
219.5,50.5734716826
220.0,50.8565001821
220.5,51.1203831993
221.0,51.3893471296
221.5,51.7089833226
222.0,51.9809705602
222.5,52.23713277
223.0,52.4984195901
223.5,52.7455541231
224.0,52.988054533
224.5,53.2160879375
225.0,53.4176903229
225.5,53.5905756218
226.0,53.7166862545
226.5,53.8490505999
227.0,54.001607041
227.5,54.1466732492
228.0,54.3021477051
228.5,54.4501044101
229.0,54.5744125775
229.5,54.6688571022
230.0,54.7413213709
